domain,age_group,severity_group,true_cate,estimated_cate,n_obs
sepsis,age_low,sev_low,-0.0530,-0.0640,1525
sepsis,age_low,sev_mid,-0.1676,-0.1762,724
sepsis,age_low,sev_high,-0.3067,-0.2659,422
sepsis,age_mid,sev_low,-0.1099,-0.0910,874
sepsis,age_mid,sev_mid,-0.2364,-0.2162,879
sepsis,age_mid,sev_high,-0.2805,-0.2651,809
sepsis,age_high,sev_low,-0.1756,-0.1174,398
sepsis,age_high,sev_mid,-0.2352,-0.2486,713
sepsis,age_high,sev_high,-0.1930,-0.1604,1656
ards,age_low,sev_low,-0.0542,-0.1000,1372
ards,age_low,sev_mid,-0.1541,-0.1013,769
ards,age_low,sev_high,-0.1705,-0.1859,530
ards,age_mid,sev_low,-0.0859,-0.0937,870
ards,age_mid,sev_mid,-0.1912,-0.1375,886
ards,age_mid,sev_high,-0.2224,-0.1918,806
ards,age_high,sev_low,-0.1479,-0.0969,484
ards,age_high,sev_mid,-0.1739,-0.1561,798
ards,age_high,sev_high,-0.1314,-0.1229,1485
acs,age_low,sev_low,-0.0408,-0.0581,1623
acs,age_low,sev_mid,-0.1922,-0.2198,666
acs,age_low,sev_high,-0.2866,-0.2942,382
acs,age_mid,sev_low,-0.0923,-0.1194,887
acs,age_mid,sev_mid,-0.2520,-0.2518,865
acs,age_mid,sev_high,-0.3170,-0.3347,810
acs,age_high,sev_low,-0.2080,-0.1553,341
acs,age_high,sev_mid,-0.2692,-0.3178,661
acs,age_high,sev_high,-0.2404,-0.2185,1765
