domain,perturbation,edge,baseline_ate,perturbed_ate,ate_deviation,abs_ate_deviation
sepsis,delete_edge,age->severity,-0.1489,-0.1679,-0.0190,0.0190
sepsis,delete_edge,severity->treatment,-0.1489,-0.1489,+0.0000,0.0000
sepsis,delete_edge,severity->outcome,-0.1489,-0.1986,-0.0497,0.0497
sepsis,delete_edge,age->outcome,-0.1489,-0.1655,-0.0166,0.0166
sepsis,delete_edge,treatment->outcome,-0.1489,0.0079,+0.1568,0.1568
sepsis,add_edge,age->treatment,-0.1489,-0.1489,+0.0000,0.0000
ards,delete_edge,age->severity,-0.1131,-0.1206,-0.0075,0.0075
ards,delete_edge,severity->treatment,-0.1131,-0.1131,+0.0000,0.0000
ards,delete_edge,severity->outcome,-0.1131,-0.1373,-0.0241,0.0241
ards,delete_edge,age->outcome,-0.1131,-0.1201,-0.0070,0.0070
ards,delete_edge,treatment->outcome,-0.1131,0.0101,+0.1233,0.1233
ards,add_edge,age->treatment,-0.1131,-0.1131,+0.0000,0.0000
acs,delete_edge,age->severity,-0.1720,-0.1954,-0.0234,0.0234
acs,delete_edge,severity->treatment,-0.1720,-0.1720,+0.0000,0.0000
acs,delete_edge,severity->outcome,-0.1720,-0.2368,-0.0648,0.0648
acs,delete_edge,age->outcome,-0.1720,-0.1921,-0.0201,0.0201
acs,delete_edge,treatment->outcome,-0.1720,0.0071,+0.1791,0.1791
acs,add_edge,age->treatment,-0.1720,-0.1720,+0.0000,0.0000
